Title,DOI,Article Type?,Year,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,Attended Workshop?,article_num,Group Year
Using student perceptions and cooperative learning to unpack primary literature on global change,https://doi.org/10.24918/cs.2020.35,lesson,2020,ecology,"global change, anthropocene, earth-system, planetary boundary concept, thresholds",Yes,"students who comple this lesson explicitly hold different perceptions of how human activity has changed various earth system processes and the degree to which humans can safely alter these processes without crossing biophysical thresholds. such perceptions would be difficult to draw out particularly in a large-enrollment course without purposeful opportunities to promote students' sense of belonging and self-efficacy (14,15). in this lesson, these perceptions are illustrated in the first component of the assignment and used to dermine three planary boundaries that groups summarize in class. this activity thereby encourages students both to consider how others' perceptions might differ in regards to a given planary boundary and the degree to which others' perceptions and their own align with our current scientific understanding.

the class sessions in which this lesson takes place, are designed to promote participation of all students in several ways. first, a student response system (kahoot!) was used to ask where students placed the safe operating space for humanity prior to reading the paper (supporting file s2. perceptions and cooperative learning – reading assurance assignment and in-class polling questions). students answered this question using personal accounts that were established at the beginning of the semester to facilitate in-class participation during all class sessions. responses are then made visible to the entire class and used to frame instructions for the in-class group assignment. this question is used to give instructors a sense of the variability in responses that students will be discussing and serves as a transition bween a short introductory lecture and the collaborative group activity. the instructor and teaching assistants circulate among the groups to ensure that discussion time is equally shared. timing prompts can also be given to ensure each member of the group has an equal time to share their predictions prior to compiling group results and discussing the paper. in addition, we recommend that the instructor require each group to appoint a student to be a discussion moderator to ensure equal participation of all group members; this is particularly critical in large-enrollment courses in which instructor access to each group is limited by seat arrangement. to comple guided discussion questions (supporting file s5. perceptions and cooperative learning – discussion and assessment questions), we suggest first having students perform a think-pair-share and then reconvene as a 4-member group to develop answers to each question. the instructor can then call on groups randomly and/or call on specific groups that arrive at particular answers to each question for the full class discussion. having students comple both formative assessments through use of the guided discussion questions and summative assessments (supporting file s5. perceptions and cooperative learning – discussion and assessment questions) encourages students to engage with their peers and the material both in and out of class.
",457,No,137,2019 - 2022
"Modeling Strep Throat Detection, Infection, and Spread Using an SIR Model and the Vensim Simulation Software",https://doi.org/10.24918/cs.2020.36,Lesson,2020,"Cell Biology, Immunology, Introduction Biology, Microbiology","infectious disease, biological modeling, SIR model",Yes,"the lesson is amenable to discussions about equity in health care. for instance, the instructor can ask students to model what happens if those infected are not isolated or treated because they lack health care and/or work benefits such as paid sick leave.",43,No,136,2019 - 2022
Integrating Manipulatives and Animations to Visualize Holliday Junctions,https://doi.org/10.24918/cs.2020.37,Lesson,2020,Biochemistry and Molecular Biology,"dna structure, DNA damage, DNA recombination, Gene crossover, Holliday junction",Yes,"this lesson is explicitly designed to augment the static images from the required textbook. the activity utilizes all five forms of representations as described by gilbert (1): concre, verbal, symbolic, visual, and gestures: (1) the three-dimensional manipulative model of the holliday junction is concre; (2) multiple opportunities are provided for students to describe what the model and what is happening at every step of holliday junction resolution; (3) symbolic molecular representations are interpred when students compare the manipulative to crystal structure models of dna; (4) multiple visual representations, including crystal structure images, schematics, and the three-dimensional manipulative, provide a variy of visual approaches to the same system; (5) students use a variy of gestures to physically manipulate the three-dimensional model to create the different structures that exist in the holliday junction.

this activity will leverage diversity within the classroom by encouraging every student to provide their perspective on how the molecules are structured and how they are changing. in particular, the color-coded chenille stems that are described here are highly adaptable for differently-abled students, including varying color combinations for dichromats and trichromats, or using differently-textured stems for visually-impaired students. these activities have been successfully integrated with professional online animations that are expertly narrated, and multiple problem ss allow study and practice at multiple learning paces.

",214,No,135,2019 - 2022
Understanding Gastric Acid Secretion: An Active Learning Approach,https://doi.org/10.24918/cs.2020.38,Lesson,2020,Anatomy-Physiology,"disease, signal transduction, Acid Secretion, Autonomic Nervous System, Endocrine, Gastric Physiology, GPCR, Histology of Gastric Pit",Yes,"this lesson is interactive, tasking students to work togher to link, locate, and define structures within the gi system. the cooperative nature inherent in the small group format may increase student engagement, leading to an increase in learning gains (4). further, because the activities rely on a visual-spatial element (drawing), students may see an increase in information recall compared to more conventional mhods (5). throughout the lesson, students are tasked with drawing (a concre experience) as well as interpring and assessing scientific data. in our course, as in most a&p courses at this level, some of the content introduced by the activity (e.g., the pharmacology) is novel to students. this should place students on equal footing at the beginning of the activity, and prevent prior knowledge from life or academic experience from giving certain students an advantage over their peers. moreover, the reflective questions included in the case study have students look at hnic variations in ulcer susceptibility, as well as the intersection of health and socioeconomic status (e.g., an ulcer patient without health insurance might rely more on less efficacious over-the-counter treatments like antacids, whereas someone with health insurance would presumably have access to proton pump inhibitors, calcium channel blockers, and antibiotics).

",203,No,134,2019 - 2022
Expanding the Reach of Crop Plants for Food Security: A Lesson Integrating Non-Majors Students Into the Discussion of Food Diversity and Human Nutrition,https://doi.org/10.24918/cs.2020.39,Lesson,2020,Plant Biology,"cereal grain, crop diversity, crop yield, global food system, human nutrition, nutrient quality, pseudocereal grain, staple crop, underutilized crop",Yes,"our lesson used crops that have historical connections to several different regions around the globe and that can be found on shelves of some grocery stores. as such, the discussion was amenable to the personal experiences of individuals from a multitude of backgrounds. in our discussion, student inputs from central american, south american, and asian cultural contexts were included to great effect. alongside of that, inputs from other students that had consumed products made from teff, chia, and quinoa were woven into the discussion as well. while surveying discussions taking place around the classroom, we noticed parallel themes from other crops (e.g., kale, avocado, and maize) emerging in conversation as well.

in terms of instructor practices, involvement of a broader group of individuals was encouraged. during breakout group discussions, the instructor and the teaching assistant served both to stimulate discussion of quier groups and to motivate involvement of more students in the breakout discussions. also, though the whole-class discussion was guided mostly by about a dozen group reporters, both the instructor and the teaching assistant called upon students that were found to have novel inputs from the breakout discussion to give them an opportunity to showcase their ideas.",197,No,133,2019 - 2022
Using Musical Instruments to Model Negative Feedback in the Hypothalamo-Pituitary-Target Gland Axes,https://doi.org/10.24918/cs.2020.40,Lesson,2020,Anatomy-Physiology,"cell-cell communication, homeostasis, negative feedback",Yes,"this role-play addresses issues of diversity and lack of participation by providing multiple means of representation (visual, auditory, and kinesthic) (11) and allowing students to choose bween multiple modes of involvement (6). students volunteering to enact a particular role participate physically. the remainder of the class participates cognitively, by participating in support groups that predict how the simulation will proceed under various circumstances, and then provide advice to the actors as to who does what and when. the actors can, of course, participate both cognitively and physically, but the involvement of their support group can lessen performance anxiy. visually and hearing-impaired students can fully participate in this activity, which uses noises generated by percussion instruments to represent output. all students will benefit by ensuring that the performers exaggerate the movements used to create the noises and are clearly visible. moreover, support groups should be encouraged to provide their advice in an auditory, as well as visual, fashion.

",157,No,132,2019 - 2022
A Hybrid Virtual Kinesiology Laboratory Module for Human Anatomy and Physiology,https://doi.org/10.24918/cs.2020.41,Lesson,2020,Anatomy-Physiology,"kinesiology, exercise physiology, Anaerobic Respiration, Maximum Oxygen Consumption, Muscular System, Virtual Anatomy, Wingate Test",Yes,"this hybrid laboratory module incorporates diversity, equity, and inclusion of students in a variy of ways. this lesson captures the diversity of biological sex by including data from males and females. this lesson also invokes a number of multiple intelligences (69) among a cohort of diverse learners. this lab specifically appeals to students' visual-spatial, bodily-kinesthic, logical-mathematic, verbal-linguistic, interpersonal, and intrapersonal abilities. for students, such capabilities expressed in the lab can extend beyond the scope of the course and into real-world interactions. the hybrid nature of this lab also appeals to differing student mindss. this laboratory module is a hybrid virtual module in the sense that it incorporates the use of a virtual dissector table as well as traditional laboratory exercises. in addition, this module embraces the essence of hybrid learning because students can access its prelab reading material online via email or an instructional online learning management (olm) interface such as canvas or blackboard. this prelab reading assignment also contains embedded youtube and khan academy videos that allow the students to explore web-based, digital content in addition to electronic text.

as the promotion of diversity and inclusion within many institutions in the united states has become increasingly paramount, many organizations and social entities are encouraged to adopt standards or policies that celebrate the diversity of their members while also fostering inclusive environments in which all members feel like part of a cohesive team. such diversity and inclusion standards can be established for professional sociies, degree programs, and even anatomy and physiology classes (70). for example, in this particular module, instructors have the opportunity to discuss occupational diversity (70) in the context of an anatomy and physiology course. students in the course will ultimately decide to pursue different occupations/career paths which in turn can influence the level of interest a student may have in a particular topic covered in the course. the interested students can then help to motivate other students based on their enthusiasm and excitement for the topic. this module should particularly appeal to those students interested in occupational therapy, physical therapy, or exercise science since many of the concepts regarding kinesiology and biomechanics are highly relevant to these fields. instructors could offer at the beginning of the lesson a quick explanation of why the lab module concepts are pertinent to these particular students and/or fields of study. even if there are no students in the course who intend to become occupational or physical therapists, instructors can discuss how the content pertaining to skelal muscle anatomy would also be revisited in greater dail in medical, dental, nurse anesthesia, physician assistant, or other anatomy-relevant curricula. moreover, exposure to this content and its career correlations may allow students an opportunity to consider such relevant fields as professional options. such exposure is especially important for under-represented populations including women, trans or gender non-conforming, or other underrepresented minority students since it might encourage these individuals to help diversify fields in which there is a paucity of members of their respective groups. for instance, physical therapy is a field often predominated by caucasian men while occupational therapy is a field often predominated by caucasian women; exposure to fields other than the stereotypical norms can help educate underrepresented students about a more diverse array of options to help them make the best decisions for themselves. on the other hand, some students might not intend to pursue any health-related careers. nevertheless, instructors could discuss the relevancy of the concepts such as mabolism, homeostasis, maximal oxygen consumption, and anaerobic capacity to an understanding of basic health during physical exercise.

since students are engaged in physical exercises during the lab module, instructors have the opportunity to emphasize the importance of physical exercise, in general, in people's daily lives. for instructors teaching in states that have higher healthcare disparities than normal, providing statistics from the national center for health statistics (nchs) regarding the state of health of their citizens (71) can be a powerful learning experience for providing awareness to students. (international readers can refer to their respective health institutions for similar data.) such awareness can motivate students then to be advocates for healthier lifestyles among their colleagues, friends, families, and community members. this advocacy is also important even in states or regions that are predominated by healthy individuals because there may be some subss of the population which lack healthy lifestyles due to a number of factors that can include limited access to healthy foods, lower socioeconomic status, reduced health literacy, or other social derminants of health (72,73). by creating an atmosphere of comradery around physical activity as a critical strategy for reducing health disparities and supporting healthy living (74,75), instructors can invite students into a learning community that is inclusive while also diverse. for example, instructors can support an atmosphere of comradery in this lab module by allowing the groups to challenge one another to see which group is the fittest. alternatively, instructors could display on the walls posters that convey helpful tips for students to incorporate at least thirty minutes of exercise (e.g., walking, jogging, biking, c.) into their daily routines and could provide encouraging and motivating words to stay healthy. additionally, instructors could provide opportunities for students to create groups to support healthy lifestyles and hang photos of individuals of diverse backgrounds engaged in physical activities. instructors can also provide encouraging words and highlight helpful tips during the exercise physiology component of the lab.

instructors might also teach classes of anatomy and physiology in which students might have disabilities or injuries that prevent them from engaging in the exercise physiology lab activities. students with disabilities provide another enriching opportunity for incorporating experiential diversity (70,76,77) into the class and creating a more inclusive environment. instructors can make a number of decisions to accommodate students with disabilities or injuries. instructors can simply allow such students to abstain from physical activity and work in close proximity with a partner within their lab group or perhaps even serve as the scribe for their lab group if they are able. if the students have the ability to perform alternative exercises (e.g., manually propelling their wheelchairs with their arms), instructors could also provide such students with the option of engaging in the lab activities under modified circumstances. either way, instructors would consider the freedom of choice and the comfort of the students in this decision. students who chose to abstain could be placed into a think-pair-share group with their assigned partner within their lab group. in a think-pair-share sequence, the students would have an opportunity to think or write about and discuss the biological concepts being explored in the lab activities (78,79). for instance, in this lab module, if there are students using wheelchairs, crutches, or some other assistive device for mobility, these students can be prompted to explain to their lab group partners how the same concepts of exhaustion and muscle fatigue can apply to situations in which they are rapidly rotating the wheels of their chair or moving their crutches with their arms, perhaps to rush somewhere quickly. in the communication exchange, students without disabilities could gain insights into the experiences of someone who cannot perform tasks that involve physical exertion, like pedaling on the stationary bicycle during the wingate test or running on the treadmill during the maximal oxygen consumption experiment, while also sharing their experiences as they perform the wingate test and running experiments. in this example, the students with disabilities are provided an equitable opportunity to engage in the lab activities by alternative means since they cannot perform the experiments in the same way that other students can, but they are also included in the conversation and learning experiences with the other students.

instructors might even choose to adopt a think-pair-share policy for all students in the class to promote further inclusion and equity (79). dr. kimberly d. tanner also provides a self-assessment of equitable teaching strategies in her article on promoting student engagement and cultivating classroom equity (79), so instructors might want to consult this tool when evaluating the inclusive nature of their own classroom. while this article addresses classroom teaching practices as a whole, many of these strategies can be incorporated into this lab module in addition to the think-pair-share technique. because the students will already be actively participating in groups, instructors might consider ambulating the room and attending to each group periodically to ensure that all students are participating either in the activities or in discussion concerning the activities and that all students are provided fair access to learning, thinking, and teaching.

",1415,No,131,2019 - 2022
A Lesson on Matter and Energy at the Organismal Scale: Linking Patterns and Processes Across Diverse Taxa,https://doi.org/10.24918/cs.2020.42,Lesson,2020,Introduction Biology,"plants, energy, Animals, fungi, matter, organismal scale",Yes,"the course in which this lesson took place was centered on inclusive and equitable teaching practices. many approaches were implemented to make the course more personal, structured, and engaging, in line with recommendations for building an inclusive environment suitable for all learners (21).

the design and delivery of curricular materials was based on evidence about student reasoning, and the impact of diverse backgrounds and prior experiences on learning. all classes incorporated collaborative group work conducted in small, permanent groups (3-4 students). the groups were engineered to be diverse in terms of students' prior coursework, majors, and demographic variables. diverse groups were generated using the ""create_groups"" function in the r package 'mindiff' v. 0.01-3 (22). this function assigns students to n groups by minimizing (via 10,000 repitions) the differences among groups for one or multiple criteria (e.g., prior biology courses, plan, demographic variables). the result is a s of group assignments in which students are herogenous within groups and homogeneous among groups.

each group was assigned to work with a ugta who was responsible for formally documenting group progress and trying to understand thinking in order to foster learning. each ugta oversaw a maximum of 35 students. ugtas were responsible for knowing students' names and seating locations and were able to identify when groups were in need of assistance. ugtas were utilized to help the instructor gauge student engagement and identify topics that were difficult for students. ugtas wore name tags and students were provided with name tents. the instructor made efforts to call students by their names in every class, both during small group conversations and during class-wide discussions. the instructor also used transparent and low-stakes ""cold calling"" to encourage engagement during activities and to foster the contribution of diverse student voices.

to appropriately prepare ugtas for their important roles, they participated in 4.5 hours of workshops throughout the semester (focusing on cognition, engagement, and diversity) that sought to encourage inclusive teaching practices and a growth minds. ugtas were also prepared weekly with information about the upcoming activities, content, and learning difficulties they could expect to encounter.

",344,No,130,2019 - 2022
A Remote Introductory Biology Lab Using Backyard Birdwatching to Teach Data Analysis and Communication,https://doi.org/10.24918/cs.2020.43,Lesson,2020,"Ecology, Introduction Biology","ecology, data analysis, data collection",Yes,"this lab was designed to be compled by students individually due to the quarantine conditions in place when it was delivered. content was made available online and video walk-through demonstrations of pivottable implementation were presented with captions. students were allowed to comple bird observations and the final project at any time during the weekly window to accommodate students in different time zones and with different living situations. observations did not require the use of any equipment and it was not necessary for students to fully identify all bird species seen in order to accommodate those without binoculars or with visual impairments. to accommodate those students whose living environment did not include views of natural spaces, youtube live video channels of bird feeders hosted by the cornell lab of ornithology were recommended. online bird identification resources were also recommended for those interested in pursuing bird identification further.",146,No,129,2019 - 2022
Going Remote: An Online Adaptation to Using a Primary Cell Culture Model to Study the Neural Extracellular Matrix,https://doi.org/10.24918/cs.2020.44,Lesson,2020,"Cell Buology, Neurobiology","emote learning, Extracellular matrix, Neural extracellular matrix, Perineuronal net",Yes,"since this experiment will be carried out remotely, the instructor should make sure that all students have access to computers, the intern, and any other software or technology that is needed. some campuses are able to provide such equipment to students and instructors alike given the need for virtual learning and teaching. as it possible that not everyone has a dedicated and private workspace, the instructor should reassure the class that they do not need to use video, but instead can rely or audio or even just typing in a chat box.

i would recommend that students form their own discussion groups, just as they would if the experiment was conducted in person. this will provide a sense of familiarity and comfort, which is likely to be appreciated given the fact that the experiment is being carried out virtually.

in addition, when designing videos for the prelab lectures, the instructor should keep in mind that they should provide notes, audio, as well as video to accommodate students with disabilities. i also recommend following up individually with students to ensure that the material has been presented suitably.

lastly, the instructor needs to make sure that the individualized feedback that the students receive on both of the formative assessments is thoughtful, constructive, and well-explained. because the students do not have traditional face-to-face time, they will rely on this feedback to prepare their lab reports. in addition, the instructor should be open to suggestions or modifications from the students given the unconventional way of compling this experiment.

",251,No,128,2019 - 2022
Lateral Transfer Maps as a Metacognitive Tool in First Year STEM Courses,https://doi.org/10.24918/cs.2020.45,Teaching Tools and Strategies,2020,Professional Development and Career Planning,"concept map, metacognition, first-year student, transfer",Yes,"the lateral transfer map is designed to be an individual activity that is open to all students, independent of academic background, identity, or major. as a result of doing this activity, students will be able to recognize and appreciate the contribution of the separate courses in the curriculum to one another and to their intended career, placing value not only on their stem courses, but on their general education courses as well. through sharing their own experiences, students are exposed to the different perspectives of their peers, thus validating diverse perspectives and supporting contributions from other students. the use of ltm supports the development of macognitive skills, particularly monitoring one's own learning. aspects of identity, including being aware of ways in which learning and identity intersect, can be included in classroom discussions around the ltms, especially if the assignment is expanded to include extracurricular activities (in addition to courses) or if a longitudinal transfer map is done, which would include past learning as well as projected future learning needs. these macognitive skills play an important role in the development of not just self-regulation of learning, but also self-efficacy (14). developing these skills helps make classrooms more inclusive and supports the rention of students who might otherwise be excluded from stem fields (15).",212,No,127,2019 - 2022
A CRISPR/Cas Guide RNA Design In Silico Activity,https://doi.org/10.24918/cs.2020.46,Lesson,2020,"Biochemistry and Molecular Biology, Bioinformatics, Genetics, Cell Biology","bioinformatics, gene expression, genetic basis of disease, CRISPR/Cas9, genetic engineering, in silico",Yes,"this lesson involves inclusive teaching practices in several ways. it incorporates realistic human disease research scenarios where all students can visualize themselves as the scientist doing meaningful work. the format incorporates universal design for learning principles that improve access and learning opportunities for all students. it uses (or can be rapidly adapted to use) only materials and software that are available to students at no cost, which lowers access barriers for resource-limited students. electronic materials can be read with a screen reader and the display modified. the structured lab notes guide students through expert thinking processes and resource management. the experiment summary lab report provides a suggested structured outline to guide information processing and offers opportunity for creativity in data presentation. the post-activity free response questions and conclusion section of the experiment summary lab report gives each student the opportunity for individual reflection, which supports macognition and self-monitoring of learning. additionally, the lesson is readily adaptable to asynchronous and online teaching using supporting materials resources provided.",166,No,126,2019 - 2022
Unwrapping Enzyme Kinetics,https://doi.org/10.24918/cs.2020.47,Lesson,2020,Biochemistry and Molecular Biology,"kinetics, structure-function, enzymes, catalysis",Yes,"the interactive demonstrations allow students to observe and describe enzyme function in a way that breaks from the traditional lecture or lab didactic style where enzymes are invisible entities. by acting as enzymes, it incorporates a physical connection to the material, which engages students through additional routes. some of the work is done in small groups with several roles (enzyme, scientist, recorder, c.), allowing students to participate at their level of comfort or ability. moreover, in these groups, students can ask questions of each other or the instructor. the whole class works togher to dermine the candy saturation curve, which again allows students to participate at the level of their comfort and ability. for students who are not mobile, part of the demonstration is measuring the rate of unwrapping in the absence of having to find and bind the candy, thus allowing contributions from those who cannot, or do not want to, run around the class space. the homework data fitting assignment can be compled individually or as a group assignment and outside resources can be consulted if they are appropriately cited and follow the institutional honor code.",188,No,125,2019 - 2022
Data Analysis Recitation Activities Support Better Understanding in SEA-PHAGES CURE,https://doi.org/10.24918/cs.2020.48,Lesson,2020,Science Process Skills,"bacteriophage, DNA extraction, Gel analysis, Phage purification, Titer calculation, Viral replicative growth",Yes,"each activity works to address inclusivity using both a group-based problem solving strategy and activity transparency. improving student confidence and ability to interpr data is a primary goal of the rails activities. it has been shown that both group-based problem solving and increased transparency have an outsized, positive impact on underserved students' academic performance, confidence, and sense of belonging (17). studies have shown that diverse groups (i.e. across racial, gender, area of study, class year lines) are more productive than homogenous groups (22). we recommend that instructors group students to maximize diversity within the groups, using demographic information or surveys as sources of information. the instructor should move through the classroom and guide students as issues arise and encourage group collaboration. in an effort to increase the transparency of the rails activities, we have elected to incorporate some of the recommendations of (transparency in teaching and learning) tilt higher ed (17). for each activity, we have provided both a) the purpose, and b) skills and knowledge gained. additionally, some difficult, open-ended questions have been clarified by adding language that describes successful answers. we strongly recommend that in introducing the activity, the instructor highlights the purpose statement and learning objectives, with the goal of bringing them to the attention of the students. by doing so, students who might not otherwise understand instructor expectations as a result of an opportunity gap will be more equipped to me the desired learning outcomes.",239,Yes,124,2019 - 2022
"Exploring Species Interactions with ""Snapshot Serengeti""",https://doi.org/10.24918/cs.2020.49,Lesson,2020,Ecology,"ecology, species interactions, citizen science, Community Ecology, animal behavior, Science Communication, migration, animal activity species distribution",Yes,"this lesson provides multiple ways for students to engage with the topic material:

students classify data individually at home and in lab, engage in small groups to develop projects and learn from one another, and participate in class activities and discussions.
students learn from both their instructor and peers. they are additionally encouraged to seek additional information online.
students access information in multiple ways, including instructor delivery, reading, and watching videos.
students engage in all roles of a scientist, from collecting and classifying image data to analyzing and interpring processed data.
students share their knowledge and ideas through a variy of media, including oral presentation, written reflections, graphs, and essays. students are able to choose the graphical representation of the data that makes the most sense to them.
the system itself (african vertebrate fauna) and medium of data presentation (photographs) are charismatic and engaging to students, encouraging participation and excitement.
the lesson provides an opportunity for students with disabilities that may limit them from participating in physical field work or lab activities to engage in real ecological research using only a computer.
this lesson broadens participation in stem by providing students that may not have the financial resources to gain biology field experience (e.g., could not afford the costs of travel, field equipment/clothing, or similar) the opportunity to engage in real ecological research using only a computer.
",219,Yes,123,2019 - 2022
Doctor in the House: Improving Undergraduate Critical Thinking Skills Through Diagnosing Medical Case Studies,https://doi.org/10.24918/cs.2020.50,Lesson,2020,Anatomy-Physiology,"medicine, diagnosis, cardiovascular, deductive reasoning, digestive, Endocrine, homeostatic imbalance, hypothetico-deductive model, urinary",Yes,"this engaging, multiple week lesson allows students to identify and diagnose their own ""patient."" we deliberately included patients with different backgrounds, hnicities, and characteristics.

the ability to integrate medical history and test results is an important scientific process skill that does not just benefit prehealth students. this diagnostic case study allows for multiple paths/thought processes to g to the correct answer. lastly, we gave the students an option to write a report or do an oral presentation for their final project.

",80,No,122,2019 - 2022
"Mapping a Mutation to its Gene: The ""Fly Lab"" as a Modern Research Experience",https://doi.org/10.24918/cs.2020.51,Lesson,2020,"Biochemistry and Molecular Biology, Bioinformatics, Genetics, Science Process Skills","genetics, bioinformatics, drosophila, chi-square analysis, complementation mapping, mode of inheritance, three-point mapping",Yes,"fostering a common goal, as well as individual learning: the class works collectively to gather a datas, and class data is analyzed for the assignment, y we want individuals to understand the material of this collective effort. with this in mind, we ask students to prioritize care over speed: rather than quickly scoring the requested number of flies, we prefer that they score fewer than requested and use the relaxed pace to bter recognize the phenotypes and understand the cross genics. (if you are concerned about insufficient sampling, you could supplement your class data with supporting file s8. mapping a mutation – sample final datas) during the week 1 and 3 procedures (supporting file s2. mapping a mutation – fly lab manual), we encourage students to discuss anomalous/interesting observations rather than just assume that they are ""wrong"" and change their individual data to match group consensus.
encouraging student initiative: we allot class-time during week 1 for students to work ahead on the week 3 prelaboratory assignment, asking questions as needed. similarly, if time is available the week before the week 1 class, instructors may wish to allot time for students to work ahead on the week 1 prelaboratory assignment.
welcoming a diversity of working styles: during our ""study hall"" style office hours bween weeks 4 and 5 (table 1), we make every effort to accommodate different working styles: we reserve a large room with wireless access and chair arrangements that allow for small group or solitary work, we encourage students to collaborate if they wish, and they may work nearby if they prefer a quier/less-crowded location. at least one instructor and one ta are available for questions throughout all study halls. if students cannot or would rather not attend these study halls, we are happy to me with them at another time.
welcoming a diversity of thinking and writing styles: we give students explicit guidance for how to organize their final assignments. however, to help increase their engagement in data analysis, we ask students to prioritize content and a clear narrative over strict form (supporting file s2. mapping a mutation – fly lab manual, guidelines for final assignment section). for example, we give them the option of writing the results and discussion separately or combined, since both forms are used in journal articles.
clear guidance while encouraging creative thinking: finally, we encourage creative thinking as students design follow-up experiments in their final assignments (supporting file s2. mapping a mutation – fly lab manual, guidelines for final assignment section; supporting file s4. mapping a mutation – grading keys). although we provide a clear template for mapping an unknown mutation to a gene, we welcome creative use of flybase and gbrowse to gather supporting evidence (supporting file s2. mapping a mutation – fly lab manual, week 4 procedure and guidelines for final assignment).
",467,Yes,121,2019 - 2022
Nanoparticles and Shrimp: An Interdisciplinary Lab Series in Chemistry and Biology for Undergraduate Engineering Students,https://doi.org/10.24918/cs.2020.52,Lesson,2020,"Cell Biology, Ecology, Science Process Skills","microscopy, chemistry applications in biology, toxicity",Yes,"our university has incorporated elements of inclusivity throughout all curricula. in the lab, specifically, we follow the inclusive-by-design approach as opposed to being inclusive-on-request (37). there are four (4) lab stations in the biology and chemistry labs that are specifically designed to accommodate those with physical disabilities as well as processes for chemical, equipment, and waste handling that allow students to participate in all aspects of the experiment.

with respect to fostering an environment that promotes productivity and elevates the learning experience for all students, we have diversified the materials and models used to deliver protocols and assessments of student work. specifically, we provide all lab protocols in advance so that students can interpr and paraphrase the mhods in a way that is most accessible for their learning. in each discipline, students work in self-formed groups. however, during the formation of the larger combined groups, faculty are intentional, making certain that each group is representative of the school’s population as a whole. in doing so, the final groups have a mix of students from different majors, years, demographic backgrounds, and sexes.

with regards to assessment, we have students produce both written and oral presentations, which allows students to demonstrate their learning in more than one format. support for the production of the final video is available in the form of lab access, faculty access, sample work, and dailed guidelines. at all points during the lab series, students are encouraged to interact with one another and with faculty to ensure their educational needs are being m.

",253,No,120,2019 - 2022
Harnessing the Power of the Immune System: Influenza Vaccines,https://doi.org/10.24918/cs.2020.53,Lesson,2020,"Immunology, Science Process Skills","Vaccines, Influenza, Immunization, Vaccine efficacy",Yes,"this lesson was designed to include all students and acknowledge the value of diversity in science in multiple ways. we use think-pair-share to include students who are not comfortable with classroom-wide participation. think-pair-share is a collaborative learning technique that encourages students to think independently about a question (think), discuss their ideas with a partner (pair), and share their responses with a larger group, such as the whole class. this technique encourages participation as students become more comfortable with participating in whole class discussion after gaining confidence by first sharing their thoughts with a partner (23). we use a jigsaw in this lesson because it encourages inclusiveness and student equity (24). a jigsaw is a teaching strategy that breaks down the class into groups and assigns each group a piece of a puzzle that that the groups assemble to comple the jigsaw togher. finally, we use random call, or an unbiased selection of a student to answer questions, to equalize classroom participation (20) and ensure that all students are attentive and participating in class. successful complion of the activity requires that each individual participates in the exercise. we acknowledge that some students do not thrive in a group sting, but they can still engage in the activity by writing their thoughts and ideas on workshes that are collected and evaluated.",219,No,119,2019 - 2022
Investigating Cell Signaling with Gene Expression Datasets,https://doi.org/10.24918/cs.2019.1,Lesson,2019,"Biochemistry and Molecular Biology, Cell Biologt","genomics, transcription, signaling",Yes,"the lesson engages students in experimentation with software, thinking activities that require the integration of disparate pieces of information, experimentation, and reflection. in their totality, these activities engage students with differing learning preferences. in our experience, students are proficient in finding information on the web; however, in many cases they require training in identifying the most salient points, and in writing and paraphrasing scientific content. the process of gathering information and rewriting is fundamental to internalization and care should be taken in the selection of materials to ensure the appropriate level of difficulty since students may not be able to meaningfully write if the material is too complex. depending on the pathway selected, examples should be drawn from students' lived experiences. this promotes connection with the subject matter. assigned readings from the relevant sections of the textbook provide the baseline knowledge for further exploration. another excellent source for foundational knowledge in cell biology in general and cell signaling in particular is scitable (https://www.nature.com/scitable).

through manipulation of the pathways and in a group sting, students explore important scientific concepts that touch on gene structure and function. the opportunity to cooperate with peers and to meaningfully contribute to the groups accomplishments builds confidence and work hic. given the availability of audiovisual media resources in this area, such as videos and educational articles from authoritative websites (for example, https://www.ibiology.org/biology-videos/, https://www.nature.com/scitable, and https://www.hhmi.org/biointeractive/about-biointeractive), students can be engaged through different mhods that make learning interactive and appealing to students with different learning styles. also, these materials allow students who start at different levels of understanding the opportunity to attain the desired level of mastery if they are willing to put in the effort. the links for learning materials of different levels of complexity are posted on the learning management system (lms), which allows students the opportunity select different starting points based on background knowledge. the instructor describes these materials to give the students a general understanding of the different levels of difficulty. based on this, advanced students can progress to research articles quickly whereas other students would spend more time on the videos and introductory websites before progressing to research articles.

overall, the lesson engages students in hands-on activities, incorporates student led discussions, and draws on student-lived experiences. through this approach students learn the required content and gain computational skills from the instructor and through cooperation with their peers.

",392,No,118,2019 - 2022
